ID,Severity,Start_Lat,Start_Lng,State,Zipcode,Timezone,Temperature(F),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition
A-2114688,2,35.08932,-80.87065,NC,28134,US/Eastern,56.0,10.0,5.0,0.0,Cloudy
A-2772300,3,39.18182,-76.78424,MD,21075,US/Eastern,63.0,10.0,5.0,0.0,Mostly Cloudy
A-904044,2,38.700499,-77.824696,VA,20186-7643,US/Eastern,78.0,2.0,10.0,0.05,T-Storm
A-2772303,2,41.10625200000001,-73.424111,CT,06854,US/Eastern,54.0,10.0,18.0,0.0,Fair
A-2466898,2,37.37582800000001,-118.415552,CA,93514-2200,US/Pacific,83.0,10.0,14.0,0.0,Fair
A-554589,2,26.606956,-81.990771,FL,33991,US/Eastern,89.0,10.0,5.0,0.0,Cloudy
A-1947662,2,27.942963,-82.544907,FL,33609,US/Eastern,85.0,10.0,6.0,0.0,Mostly Cloudy
A-1989340,2,33.675678999999995,-117.840641,CA,92614,US/Pacific,68.0,10.0,5.0,0.0,Fair
A-881352,2,37.555474,-77.487206,VA,23221-2728,US/Eastern,51.0,10.0,0.0,0.0,Cloudy
A-2361845,4,47.60461,-122.32698,WA,98104,US/Pacific,46.0,7.0,13.0,0.0,Light Rain
A-699109,2,30.424371,-89.133013,MS,39503,US/Central,80.0,10.0,8.0,0.0,Cloudy
A-627174,2,33.811915,-117.278783,CA,92570-6864,US/Pacific,66.0,10.0,0.0,0.0,Fair
A-1758414,2,45.538684,-92.990594,MN,55056,US/Central,32.0,10.0,0.0,0.0,Cloudy
A-2321541,2,37.719157,-122.448254,CA,94112,US/Pacific,55.0,10.0,13.0,0.0,Partly Cloudy
A-2603329,2,44.96158,-93.09072,MN,55130,US/Central,73.0,10.0,6.9,0.03,Light Rain
A-2279738,2,44.86859000000001,-120.92694,OR,97001,US/Pacific,64.0,10.0,16.0,0.0,Fair
A-496564,2,37.257932,-79.949988,VA,24016,US/Eastern,35.0,10.0,7.0,0.0,Fair
A-804719,2,29.024718,-82.157421,FL,34473,US/Eastern,91.0,9.0,5.0,0.0,Partly Cloudy
A-2081063,2,37.49608,-120.871987,CA,95380,US/Pacific,77.0,10.0,15.0,0.0,Fair
A-844078,2,38.553104,-121.436602,CA,95819,US/Pacific,66.0,10.0,9.0,0.0,Fair
A-2160429,3,43.12252,-76.23631,NY,13090-3702,US/Eastern,86.0,10.0,0.0,0.0,Fair
A-2349532,2,35.26772000000001,-119.252649,CA,93311,US/Pacific,64.0,8.0,3.0,0.0,Mostly Cloudy
A-1428510,2,34.067366,-117.563705,CA,91761,US/Pacific,70.0,6.0,3.0,0.0,Haze
A-1808836,2,44.08587,-123.103362,OR,97401,US/Pacific,58.0,10.0,6.0,0.0,Mostly Cloudy
A-1941096,2,34.333372,-81.083237,SC,29180,US/Eastern,61.0,10.0,5.0,0.0,Partly Cloudy
A-2229916,2,32.92311,-96.7496,TX,75243,US/Central,63.0,10.0,15.0,0.0,Mostly Cloudy
A-1210638,2,36.167343,-119.023029,CA,93247,US/Pacific,53.0,0.25,0.0,0.0,Fog
A-2161883,3,40.45028,-104.9919,CO,80538,US/Mountain,67.0,10.0,31.0,0.03,Fair / Windy
A-2052052,2,36.327334,-119.396785,CA,93291,US/Pacific,50.0,10.0,7.0,0.0,Mostly Cloudy
A-2843355,2,43.00168,-83.69914,MI,48507,US/Eastern,70.0,10.0,3.0,0.0,Partly Cloudy
A-1569383,2,44.102567,-123.17153,OR,97402-9707,US/Pacific,49.0,10.0,15.0,0.0,Cloudy
A-1260918,2,28.040774,-82.03,FL,33815,US/Eastern,73.0,10.0,0.0,0.0,Mostly Cloudy
A-636168,2,34.022037,-117.550094,CA,91752,US/Pacific,59.0,10.0,0.0,0.0,Fair
A-2190182,2,37.81947,-121.99311000000002,CA,94526,US/Pacific,56.0,10.0,15.0,0.0,Light Rain
A-409594,2,27.298807,-82.501201,FL,34231-8603,US/Eastern,82.0,10.0,18.0,0.0,Partly Cloudy
A-1327480,2,32.759197,-96.682877,TX,75227-6807,US/Central,79.0,10.0,10.0,0.0,Fair
A-1001864,2,39.389826,-77.409343,MD,21704-8358,US/Eastern,63.0,10.0,12.0,0.0,Cloudy
A-1166810,2,42.48773900000001,-83.046295,MI,48091,US/Eastern,39.0,3.0,5.0,0.0,Cloudy
A-1263630,2,33.806553,-117.832005,CA,92867,US/Pacific,65.0,4.0,0.0,0.0,Haze
A-1806796,2,30.57891,-88.174735,AL,36619,US/Central,67.0,10.0,12.0,0.0,Fair
A-1158340,2,29.758626,-95.413588,TX,77019-1515,US/Central,85.0,10.0,3.0,0.0,Mostly Cloudy
A-1730738,2,39.464916,-121.725917,CA,95965-9277,US/Pacific,54.0,10.0,0.0,0.0,Light Rain
A-2059957,2,26.533881,-80.073605,FL,33435,US/Eastern,88.0,10.0,17.0,0.0,Partly Cloudy
A-881386,2,37.629138,-120.923027,CA,95357-0515,US/Pacific,85.0,10.0,9.0,0.0,Fair
A-1235392,2,25.59865,-80.35243299999998,FL,33157-6934,US/Eastern,60.0,10.0,0.0,0.0,Fair
A-1270340,2,33.659019,-78.926902,SC,29577,US/Eastern,71.0,10.0,9.0,0.0,Fair
A-844894,2,30.176002,-81.558755,FL,32258,US/Eastern,78.0,10.0,3.0,0.0,Mostly Cloudy
A-371649,2,38.496256,-121.297812,CA,95829-9461,US/Pacific,61.0,3.0,5.0,0.0,Cloudy
A-2430251,2,25.81033,-80.14402,FL,33140,US/Eastern,82.0,10.0,12.0,0.03,Light Rain
A-490779,2,40.438385,-76.117952,PA,19506,US/Eastern,76.0,10.0,7.0,0.0,Mostly Cloudy
A-2396975,2,33.876917,-118.151372,CA,90706,US/Pacific,51.0,10.0,5.0,0.0,Partly Cloudy
A-674458,2,36.684748,-121.64848,CA,93901,US/Pacific,58.0,10.0,15.0,0.0,Fair
A-660503,2,35.826509,-78.710544,NC,27612-4103,US/Eastern,45.0,10.0,6.0,0.0,Cloudy
A-1633439,2,25.927201,-80.345462,FL,33018,US/Eastern,75.0,10.0,9.0,0.0,Fair
A-2478457,2,34.221652,-118.41438,CA,91352,US/Pacific,64.0,10.0,7.0,0.0,Cloudy
A-2689723,4,35.939306,-78.944664,NC,27707-5444,US/Eastern,45.0,10.0,10.0,0.0,Cloudy
A-1310694,2,37.765712,-119.00099099999998,CA,93529,US/Pacific,30.0,10.0,6.0,0.0,Fair
A-2349987,2,45.78658,-119.34097,OR,97838,US/Pacific,60.0,10.0,14.0,0.0,Partly Cloudy
A-1048859,2,30.180986,-81.7396,FL,32073-2629,US/Eastern,68.0,10.0,5.0,0.0,Mostly Cloudy
A-922841,2,36.109197,-86.66715699999996,TN,37217,US/Central,82.0,10.0,6.0,0.0,Mostly Cloudy
A-1230585,2,38.63663,-77.290266,VA,22191,US/Eastern,59.0,10.0,0.0,0.0,Fair
A-2170790,2,33.805642,-118.142538,CA,90815,US/Pacific,71.0,10.0,15.0,0.0,Fair
A-1891352,2,35.807651,-78.599184,NC,27604,US/Eastern,71.0,5.0,9.0,0.04,Light Rain
A-2290185,2,34.14775,-118.22874,CA,91206,US/Pacific,63.0,5.0,0.0,0.0,Fair
A-2336099,2,33.74405,-84.38681,GA,30312,US/Eastern,62.0,9.0,13.0,0.02,Light Rain
A-2841315,4,33.77838,-117.8705,CA,92868,US/Pacific,81.0,10.0,10.0,0.0,Fair
A-2175898,2,35.331862,-119.003083,CA,93307-4153,US/Pacific,90.0,10.0,10.0,0.0,Fair
A-1137939,2,38.052483,-120.202433,CA,95383-9673,US/Pacific,41.0,10.0,0.0,0.0,Cloudy
A-1279374,2,40.475095,-122.397228,CA,96007-9519,US/Pacific,93.0,9.0,7.0,0.0,Smoke
A-2806759,4,25.9274,-80.21497,FL,33169,US/Eastern,83.0,10.0,5.0,0.0,Fair
A-1933393,2,42.423051,-73.550795,NY,12136,US/Eastern,34.0,10.0,9.0,0.0,Cloudy
A-1343292,2,25.80991,-80.333299,FL,33166,US/Eastern,85.0,10.0,0.0,0.0,Partly Cloudy
A-1953497,2,29.27085,-82.194396,FL,34482,US/Eastern,69.0,9.0,5.0,0.0,Fair
A-2223027,4,40.38613,-77.14305,PA,17068-8040,US/Eastern,63.0,10.0,9.0,0.0,Cloudy
A-2173029,1,37.99184,-122.06768,CA,94553,US/Pacific,59.0,10.0,8.0,0.0,Fair
A-456064,2,32.493316,-93.724726,LA,71101,US/Central,72.0,10.0,5.0,0.0,Fair
A-1071538,2,36.065872,-118.966512,CA,93257-9450,US/Pacific,51.0,10.0,5.0,0.0,Cloudy
A-856118,2,38.937488,-110.471853,UT,84525,US/Mountain,65.0,10.0,5.0,0.0,Fair
A-2423343,3,34.15085,-118.6599,CA,91302,US/Pacific,82.0,10.0,12.0,0.0,Fair
A-1614142,2,31.656111,-85.28044,AL,36310,US/Central,47.0,8.0,8.0,0.0,Mostly Cloudy
A-2446079,2,33.869015000000005,-117.730573,CA,92887,US/Pacific,65.0,10.0,0.0,0.0,Fair
A-1812457,2,33.765706,-117.920227,CA,92843-4007,US/Pacific,65.0,10.0,8.0,0.0,Partly Cloudy
A-595831,2,28.412147,-81.423594,FL,32837,US/Eastern,71.0,10.0,12.0,0.0,Mostly Cloudy
A-1182902,2,33.478681,-81.268375,SC,29146-9368,US/Eastern,63.0,10.0,0.0,0.0,Mostly Cloudy
A-1400028,2,45.372172,-122.712424,OR,97062,US/Pacific,49.0,10.0,8.0,0.0,Cloudy
A-592599,2,42.960073,-85.640991,MI,49506-1561,US/Eastern,83.0,10.0,6.0,0.0,Fair
A-865352,2,39.800436,-86.09443399999998,IN,46218,US/Eastern,58.0,10.0,6.0,0.0,Fair
A-2010448,2,25.863028,-80.322622,FL,33012,US/Eastern,52.0,10.0,7.0,0.0,Fair
A-1251758,2,32.104044,-81.237315,GA,31322,US/Eastern,54.0,10.0,9.0,0.0,Mostly Cloudy
A-2491096,4,25.78325,-80.34102299999998,FL,33172-3033,US/Eastern,83.0,10.0,7.0,0.0,Fair
A-1492053,2,41.339007,-73.767839,NY,10598-6341,US/Eastern,73.0,10.0,10.0,0.0,Fair
A-2780201,2,42.12115,-121.82838999999998,OR,97603-9106,US/Pacific,58.0,10.0,0.0,0.0,Fair
A-624653,2,35.84245900000001,-78.61279300000002,NC,27609-6203,US/Eastern,54.0,5.0,9.0,0.0,Mostly Cloudy
A-1774730,2,39.622688,-84.230661,OH,45342,US/Eastern,46.0,10.0,9.0,0.0,Fair
A-2319673,3,42.67155,-73.75545,NY,12206,US/Eastern,29.0,10.0,10.0,0.0,Fair
A-1850520,2,41.681603,-93.091696,IA,50208,US/Central,32.0,10.0,9.0,0.0,Cloudy
A-2396142,2,40.72267,-73.58049,NY,11553,US/Eastern,34.0,1.0,22.0,0.0,Haze / Windy
A-422729,2,38.470183,-77.404335,VA,22554,US/Eastern,43.0,10.0,17.0,0.0,Fair
A-800574,2,32.870133,-96.672118,TX,75218,US/Central,89.0,10.0,13.0,0.0,Fair
A-2190505,2,34.129946999999994,-117.205304,CA,92346,US/Pacific,82.0,7.0,8.0,0.0,Mostly Cloudy
A-809946,4,40.696738,-73.98100000000002,NY,11201,US/Eastern,48.0,9.0,15.0,0.03,Light Rain
A-552715,2,35.41931,-84.696038,TN,37303,US/Eastern,63.0,10.0,15.0,0.0,Cloudy
A-709231,2,34.889308,-82.374535,SC,29609-3142,US/Eastern,60.0,10.0,3.0,0.0,Fair
A-1212320,2,33.993747,-86.586105,AL,35049-3578,US/Central,63.0,10.0,0.0,0.0,Fair
A-444394,2,25.899691,-80.180812,FL,33161-4115,US/Eastern,78.0,10.0,14.0,0.0,Fair
A-379696,2,39.66858,-75.669519,DE,19702,US/Eastern,72.0,10.0,7.0,0.0,Cloudy
A-1069380,2,29.734836,-95.623694,TX,77082-6875,US/Central,96.0,10.0,0.0,0.0,Fair
A-981170,2,35.148968,-82.036734,SC,29322-8991,US/Eastern,63.0,3.0,10.0,0.05,Light Rain
A-1611501,2,34.293814000000005,-118.470756,CA,91344,US/Pacific,58.0,10.0,0.0,0.0,Fair
A-2544729,3,41.834936,-87.686063,IL,60608,US/Central,7.0,10.0,10.4,0.0,Mostly Cloudy
A-1750487,2,38.185505,-120.865919,CA,95252,US/Pacific,39.0,6.0,0.0,0.0,Fair
A-1554747,2,27.799045,-82.705329,FL,33710-2601,US/Eastern,58.0,10.0,14.0,0.0,Fair
A-1116126,2,39.831701,-75.427424,PA,19061,US/Eastern,64.0,10.0,5.0,0.0,Fair
A-2237896,3,42.08734000000001,-87.86716,IL,60025-1446,US/Central,43.0,10.0,9.0,0.0,Fair
A-342138,2,28.373386,-81.5061,FL,32821,US/Eastern,70.0,10.0,14.0,0.0,Cloudy
A-1111735,2,34.046510999999995,-118.448441,CA,90025-3118,US/Pacific,56.0,8.0,6.0,0.0,Cloudy
A-2825144,2,40.88748,-73.89437,NY,10471,US/Eastern,77.0,10.0,9.0,0.0,Cloudy
A-588829,2,25.928608,-80.20930200000002,FL,33169,US/Eastern,83.0,10.0,7.0,0.0,Fair
A-1040493,2,45.224806,-93.397022,MN,55303,US/Central,63.0,10.0,9.0,0.0,Mostly Cloudy
A-2026624,2,26.162513,-80.16214000000002,FL,33311,US/Eastern,83.0,10.0,10.0,0.0,Fair
A-1225473,2,27.051188,-82.39738299999998,FL,34293,US/Eastern,78.0,10.0,13.0,0.0,Fair
A-1490273,2,40.440074,-122.304484,CA,96007,US/Pacific,89.0,4.0,0.0,0.0,Smoke
A-30966,2,32.83326,-96.81532,TX,75209,US/Central,82.0,10.0,5.8,0.0,Mostly Cloudy
A-600433,2,29.775628,-95.427635,TX,77007,US/Central,75.0,10.0,10.0,0.0,Cloudy
A-1896985,2,34.344998,-81.102006,SC,29180-7235,US/Eastern,61.0,10.0,13.0,0.0,Fair
A-1059389,2,40.518146,-76.46906,PA,17963,US/Eastern,39.0,10.0,10.0,0.0,Cloudy
A-2272813,3,32.76386,-96.80524,TX,75207,US/Central,84.0,10.0,7.0,0.0,Fair
A-908764,2,43.681993,-95.593279,MN,56187-5179,US/Central,5.0,10.0,3.0,0.0,Cloudy
A-348958,4,36.757532,-79.882287,VA,24112,US/Eastern,66.0,10.0,0.0,0.0,Light Drizzle
A-683405,2,39.530879,-104.867851,CO,80134,US/Mountain,73.0,10.0,7.0,0.0,Mostly Cloudy
A-2812412,2,41.0479,-76.83145999999998,PA,17847,US/Eastern,87.0,10.0,3.0,0.0,Fair
A-309709,2,38.616675,-90.177787,IL,62201,US/Central,60.0,10.0,6.0,0.0,Fair
A-485819,2,34.247068,-79.821136,SC,29501-9417,US/Eastern,64.0,0.75,0.0,0.0,Haze
A-893774,2,32.924405,-96.770136,TX,75251,US/Central,70.0,7.0,9.0,0.0,Cloudy
A-1999839,2,29.938244,-90.096347,LA,70115-6027,US/Pacific,55.0,10.0,0.0,0.0,Fair
A-1692590,2,25.630294,-80.41471800000002,FL,33186,US/Eastern,71.0,10.0,6.0,0.0,Cloudy
A-40370,4,39.379188,-77.398628,MD,21704,US/Eastern,33.8,7.0,5.8,0.02,Overcast
A-1433063,2,33.112333,-117.097085,CA,92025,US/Pacific,72.0,8.0,7.0,0.0,Partly Cloudy
A-1911083,2,35.310391,-119.002972,CA,93307-5412,US/Pacific,46.0,10.0,0.0,0.0,Fair
A-1169256,2,28.513391,-81.329468,FL,32812,US/Eastern,86.0,10.0,5.0,0.0,Partly Cloudy
A-604254,2,32.851176,-96.81326,TX,75209,US/Central,77.0,9.0,10.0,0.48,Cloudy
A-2113560,1,45.46803,-122.57908,OR,97206-7846,US/Pacific,63.0,10.0,16.0,0.0,Light Rain
A-654081,2,36.473997,-120.429478,CA,93640,US/Pacific,70.0,10.0,3.0,0.0,Fair
A-2299037,2,35.64131500000001,-118.483759,CA,93240,US/Pacific,41.0,5.0,9.0,0.0,Fair
